Date	App Name	App Apple Identifier	Event	Page Type	Source Type	Engagement Type	Device	Platform Version	Territory	Counts	Unique Counts
2026-04-28	Rewire	6759087214	Impression	No page	App Store search		iPad	iOS 26.3	CA	1	1
2026-04-26	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.2	JP	3	2
2026-04-26	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.3	JP	3	2
2026-04-28	Rewire	6759087214	Page view	Product page	App Store search		iPhone	iOS 26.3	JP	4	1
2026-04-26	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.4	PH	1	1
2026-04-26	Rewire	6759087214	Page view	Product page	App Store search		iPhone	iOS 26.2	JP	1	1
2026-04-26	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.4	JP	1	1
2026-04-28	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.3	JP	5	1
2026-04-26	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 15.6	CN	1	1
2026-04-26	Rewire	6759087214	Impression	No page	App Store search		iPad	iOS 18.5	US	3	1
