Date	App Name	App Apple Identifier	State Metric	Subscription Name	Subscription Identifier	Subscription Duration	Billing Frequency	Billing Period	Subscription Group	Subscription Group Identifier	Offer Type	Offer Name	Offer ID	Vanity Code	Offer Pricing	Offer Duration	Family Sharing	Cancellation Reason	App Download Source Type	Page Type	Pre-Order	Original Purchase Device	Territory	Counts
2026-05-30	Rewire	6759087214	Free trial	Rewire Pro Annual Full Price	6759788606	1 year	Unknown		Rewire Pro	21930700	Offer code	SNS_Campaign_2026_Free1Year	5e8bde68-12aa-4b07-8a09-3154f0a555af	REWIRE2026	Free trial	1 year	Individual		App Store browse	No page		iPhone	JP	2
2026-05-30	Rewire	6759087214	Voluntary churn	Rewire Pro Annual Full Price	6759788606	1 year	Annual		Rewire Pro	21930700							Individual	Turned off auto-renew	App Store search	No page		iPhone	JP	1
2026-05-30	Rewire	6759087214	Full price	Rewire Pro  Monthly V2	6760226886	1 month	Monthly		Rewire Pro	21930700							Individual		App Store search	Product page		iPhone	JP	1
2026-05-30	Rewire	6759087214	Voluntary churn	Rewire Pro  Monthly V2	6760226886	1 month	Monthly		Rewire Pro	21930700							Individual	Turned off auto-renew	App Store search	Product page		iPhone	JP	1
2026-05-30	Rewire	6759087214	Free trial	Rewire Pro Annual Full Price	6759788606	1 year	Annual		Rewire Pro	21930700	Offer code	SNS_Campaign_2026_Free1Year	5e8bde68-12aa-4b07-8a09-3154f0a555af	REWIRE2026	Free trial	1 year	Individual		App Store browse	No page		iPhone	JP	1
2026-05-30	Rewire	6759087214	Voluntary churn	Rewire Pro  Monthly V2	6760226886	1 month	Unknown		Rewire Pro	21930700							Individual	Turned off auto-renew	App Store search	Product page		iPhone	JP	1
2026-05-30	Rewire	6759087214	Voluntary churn	Rewire Pro Annual Full Price	6759788606	1 year	Unknown		Rewire Pro	21930700							Individual	Turned off auto-renew	App Store search	Product page		iPhone	JP	1
2026-05-30	Rewire	6759087214	Free trial	Rewire Pro  Monthly V2	6760226886	1 month	Monthly		Rewire Pro	21930700	Introductory offer				Free trial	3 days	Individual		App Store search	Product page		iPhone	JP	1
2026-05-30	Rewire	6759087214	Voluntary churn	Rewire Pro Annual Full Price	6759788606	1 year	Unknown		Rewire Pro	21930700							Individual	Turned off auto-renew	App Store search	No page		iPhone	JP	3
2026-05-30	Rewire	6759087214	Voluntary churn	Rewire Pro  Monthly V2	6760226886	1 month	Unknown		Rewire Pro	21930700							Individual	Turned off auto-renew	App referrer	Product page		iPhone	JP	1
